sample_id,class,label,entropy,file_size_kb,n_sections,avg_section_entropy,max_section_entropy,executable_sections,writable_sections,n_imports,n_exports,suspicious_api_count,has_resources,is_packed,has_digital_sig,has_overlay,vt_score,strings_suspicious,network_calls,registry_writes,file_creates,process_creates,mutex_creates,api_unique,code_section_size_kb,has_encryption_api,has_injection_api,has_persistence_api,has_network_api,has_anti_debug,byte_0x00_freq,byte_0xff_freq,entropy_x_packed,inject_persist_score,network_intensity,section_risk,obfuscation_score
BEN_01023,Benign,0,4.0665,10.0,4,5.401,3.7455,1,0,30.5928,0.0,0.5556,1,1,1,0,0.0275,0.0,6.0457,1.6354,9.9522,0.0,0.0021,49.4704,109.7706,0,0,0,0,0,0.05,0.0112,4.0665,0,0.12220843170865811,0,1
BEN_01884,Benign,0,6.5,10.0,6,3.5059,4.5594,1,2,124.5657,15.1076,1.7335,1,0,1,0,0.0,0.0,1.7378,0.0,8.3232,0.1329,2.8607,48.592,134.074,0,0,0,1,0,0.1213,0.0211,0.0,0,0.03576308857425091,2,0
RAN_00358,Ransomware,1,7.4953,50.0,4,7.6788,7.7585,3,4,14.2184,0.4662,8.2068,0,1,0,1,51.0402,27.4661,35.5881,10.11,38.5139,3.5048,5.0081,37.9106,266.2522,1,1,1,1,1,0.0294,0.0597,7.4953,3,0.9387374507393709,12,3
ADW_00278,Adware,3,4.7651,100.0,3,5.8128,6.5464,3,3,54.6434,2.1058,5.8188,1,0,0,0,21.2551,23.2794,30.7837,19.3987,17.8908,8.3774,0.0,23.0443,171.3997,0,0,0,1,0,0.1633,0.0162,0.0,0,1.3358487782228143,9,1
BEN_02365,Benign,0,4.0203,10.0,6,3.8303,6.3164,1,1,41.0575,48.1271,0.0,1,0,1,0,0.5331,2.5683,4.3201,0.0,13.3446,0.5533,0.0,34.2233,90.5442,0,0,0,0,0,0.05,0.002,0.0,0,0.12623271280092802,1,0
BEN_03506,Benign,0,6.3732,10.0,3,5.5981,5.5557,1,1,104.6662,35.2832,1.8107,1,0,1,0,0.0538,0.0,0.0,0.0,0.0,1.0929,1.8647,89.6717,126.3944,1,0,0,1,0,0.3436,0.0225,0.0,0,0.0,1,0
TRO_00167,Trojan,2,6.2228,20.0,8,5.6505,7.9,2,1,55.8206,2.4362,8.1501,0,0,0,0,35.2083,25.7313,21.9351,26.9035,6.3647,4.7374,4.5116,88.3336,181.8009,1,0,0,1,1,0.0,0.0208,0.0,1,0.2483211371437369,2,1
BEN_01833,Benign,0,4.9983,10.0,4,4.9894,5.8682,1,1,26.2168,0.0,1.6819,1,0,1,0,0.0,0.4586,2.0789,20.1396,0.0,0.995,1.13,80.2335,57.1369,0,0,0,0,0,0.2923,0.0102,0.0,0,0.02591062336804452,1,0
ADW_00373,Adware,3,4.7304,100.0,5,4.4457,7.5,2,1,63.5043,20.8575,7.5707,1,0,0,1,29.94,17.2735,19.5817,18.6614,27.3773,2.1509,0.0,74.3252,573.6071,0,1,0,1,0,0.1923,0.0173,0.0,1,0.2634597686921798,2,1
BEN_01499,Benign,0,4.1339,10.0,5,4.4146,4.7861,2,0,5.0,3.2371,1.2281,1,0,0,0,0.0,1.6726,0.0,0.6069,8.9574,1.2442,1.2587,46.4197,127.511,0,0,0,1,0,0.05,0.0155,0.0,0,0.0,0,1
