sample_id,class,label,category,risk_level,entropy,file_size_kb,n_sections,avg_section_entropy,max_section_entropy,executable_sections,writable_sections,n_imports,n_exports,suspicious_api_count,has_resources,is_packed,has_digital_sig,has_overlay,vt_score,strings_suspicious,network_calls,registry_writes,file_creates,process_creates,mutex_creates,api_unique,code_section_size_kb,has_encryption_api,has_injection_api,has_persistence_api,has_network_api,has_anti_debug,byte_0x00_freq,byte_0xff_freq
FIL_00031,Fileless,9,Memory-Based,Critical,6.8378,0.5,2,7.4029,6.7815,1,2,3.893,0.8486,16.9343,0,1,0,0,8.5517,28.3404,27.8827,4.8052,5.6652,19.557,3.9701,7.8811,3.9866,0,1,1,1,1,0.0606,0.0619
TRO_00377,Trojan,2,Deceptive,Critical,6.5869,17.52,4,5.8828,6.1596,1,3,12.5173,2.8494,10.0432,1,1,1,0,56.7784,21.4813,20.0104,29.1658,15.2484,0.0,3.5631,58.6439,157.6612,0,0,1,1,1,0.0089,0.0
BEN_01696,Benign,0,Clean,None,5.2736,1.0,5,4.0093,6.2781,1,1,114.0155,18.1964,1.501,1,0,1,0,2.2204,0.0,0.0,0.0,11.7467,0.9435,1.9191,19.2106,95.768,0,0,0,0,0,0.1255,0.0141
ROO_00297,Rootkit,5,Stealth,Critical,6.5763,2.0,5,3.5,7.6589,4,2,21.1087,7.5048,16.5165,1,1,0,0,25.9786,15.0817,8.4938,21.8039,9.1549,3.8132,2.9208,28.1659,26.5076,1,1,1,0,1,0.1239,0.044
BEN_00684,Benign,0,Clean,None,5.0294,1.0,6,5.0954,4.0995,1,1,49.6109,10.9387,0.0,1,0,1,0,0.024,7.2015,0.0,0.0,0.2694,0.0,2.4043,39.9364,103.8984,0,0,0,0,0,0.1713,0.012
SPY_00283,Spyware,6,Surveillance,High,4.0528,10.0,8,6.003,7.6178,1,1,27.9427,1.618,15.2996,1,0,0,0,43.0339,22.875,26.967,3.5593,22.2365,8.8079,0.0,53.6734,38.5812,1,1,1,1,0,0.1823,0.0157
CRY_00269,Cryptominer,11,Resource Abuse,Medium,7.7524,100.0,3,6.6791,7.3269,1,0,51.4201,4.3125,6.3454,0,0,0,0,20.3409,7.4421,21.2441,0.0,9.6946,4.8359,0.8792,36.3707,256.8408,0,0,1,1,0,0.0834,0.0544
FIL_00035,Fileless,9,Memory-Based,Critical,7.1025,0.9,2,6.9016,6.8277,2,3,24.6184,0.0,18.3449,0,1,0,0,28.0277,24.5542,2.0,18.6488,1.1209,7.3759,6.8889,5.0,54.0406,0,1,0,0,1,0.0175,0.0648
RAN_00287,Ransomware,4,Extortion,Critical,7.5576,50.0,5,6.9104,7.4646,4,2,40.4262,0.0,11.7292,0,1,0,1,28.1262,37.9322,31.3554,19.0707,35.1557,1.0,2.2577,29.6853,105.9688,1,0,0,1,1,0.1131,0.1474
WOR_00040,Worm,3,Self-Replicating,Critical,7.9,5.0,8,5.67,7.0125,2,3,53.4231,1.4205,9.326,0,0,0,0,56.2152,22.9431,29.9662,10.0063,4.0726,5.091,1.0,44.5764,159.2011,1,0,1,1,0,0.0463,0.0523
CRY_00240,Cryptominer,11,Resource Abuse,Medium,6.7477,100.0,6,6.8096,7.083,3,0,3.0,7.7278,9.1822,0,1,0,1,41.923,21.7066,24.1645,10.139,8.1998,9.0765,0.0,8.0,422.0776,0,0,1,1,0,0.1584,0.0221
VIR_00313,Virus,1,Infector,High,6.5673,1.72,5,6.7316,7.1552,2,3,23.8535,0.1205,9.2697,1,0,0,0,35.1499,17.521,3.5406,0.0,24.174,0.0,1.2394,72.5846,93.505,1,1,0,1,0,0.0458,0.0
BAC_00340,Backdoor,8,Remote Access,Critical,7.835,5.0,4,5.4844,6.9791,1,4,56.7216,5.6865,10.1109,0,0,0,0,24.6581,27.3538,8.0,1.4552,10.3135,6.8901,0.9801,58.5111,18.2677,1,1,1,1,1,0.0272,0.0821
RAN_00334,Ransomware,4,Extortion,Critical,7.2026,50.0,8,7.3111,7.4788,2,3,19.3879,0.4171,17.1287,1,1,0,0,37.4005,8.0,46.0981,37.6505,48.2155,8.3057,3.6364,24.4359,222.4386,1,1,1,0,0,0.0423,0.1327
BEN_01254,Benign,0,Clean,None,4.421,1.0,4,6.2086,4.5322,2,1,65.5235,10.3506,1.9733,1,0,1,0,1.7367,2.9897,0.5922,13.5744,1.6714,0.0,1.064,19.2817,27.4122,0,0,0,1,0,0.1419,0.0687
VIR_00178,Virus,1,Infector,High,5.9785,34.7,8,6.4078,7.1766,5,4,54.3486,2.8458,2.0066,0,0,0,0,55.7921,27.0038,0.0,6.3112,32.7973,3.7777,0.5147,16.9029,61.548,1,1,0,1,0,0.0,0.0463
CRY_00140,Cryptominer,11,Resource Abuse,Medium,5.1286,100.0,6,6.2187,6.2498,3,3,30.0795,0.0,2.7876,1,0,0,0,27.5742,15.548,30.526,7.9308,10.8572,8.6974,3.1964,29.6322,445.8997,0,0,1,1,1,0.0691,0.0736
BEN_01098,Benign,0,Clean,None,6.3338,1.0,7,3.0201,5.8736,3,1,30.4597,23.4119,1.7195,0,0,0,0,0.0,0.0,0.0,9.784,17.8752,0.9372,1.2878,55.5291,84.3981,0,0,0,0,0,0.076,0.0691
RAN_00167,Ransomware,4,Extortion,Critical,7.1224,50.0,3,7.367,7.1245,2,2,18.7161,1.9224,14.3783,1,0,0,0,29.693,25.4467,24.9834,28.6797,56.7441,7.2708,1.4428,45.6186,63.6176,1,0,1,0,1,0.0553,0.0424
BEN_01006,Benign,0,Clean,None,5.2021,1.0,6,5.319,6.24,2,0,121.5552,0.0,1.7199,1,0,0,0,0.8984,3.4365,0.1158,10.8993,5.6133,0.2228,5.8864,37.6757,95.2966,0,0,0,0,0,0.3083,0.0431
TRO_00177,Trojan,2,Deceptive,Critical,6.4827,10.0,4,6.2206,7.7454,4,4,24.0444,6.9512,11.6413,1,1,0,0,18.0,5.0,30.3564,9.7504,0.0,1.8693,3.9451,39.1897,160.0193,0,1,0,1,1,0.0674,0.0223
BEN_01845,Benign,0,Clean,None,6.4433,1.0,6,3.6547,4.7084,1,0,1.0,23.8231,1.8758,1,1,1,0,0.9006,3.1736,0.8589,6.6165,10.3923,2.2648,2.1971,45.0137,97.0498,0,0,0,1,0,0.0998,0.043
VIR_00200,Virus,1,Infector,High,7.2804,1.0,5,6.1168,6.5246,4,2,37.8839,2.5389,5.5478,1,0,0,1,21.4837,20.6682,0.0,0.0,12.9007,9.0708,1.2479,20.5395,81.709,0,1,1,0,0,0.1333,0.0307
BAC_00283,Backdoor,8,Remote Access,Critical,6.4983,5.0,4,6.2787,7.4763,3,1,3.0,7.1952,13.665,1,1,0,0,55.3881,18.0171,38.0111,6.1867,2.2359,1.0,0.4796,32.0398,159.1405,0,0,1,1,1,0.0,0.0541
PUP_00084,PUP,10,Unwanted,Low,4.8937,100.0,3,5.4342,6.3793,3,3,108.325,0.0,4.3361,1,0,0,0,2.0,22.0934,6.583,8.2761,13.8158,0.5725,0.0,10.8,210.2434,1,0,1,1,0,0.1843,0.0215
BEN_01080,Benign,0,Clean,None,6.8795,1.0,5,5.3893,7.2362,1,0,79.5335,0.0,0.0,1,0,1,0,0.8191,5.0564,0.0,17.3329,10.8484,3.166,0.0,31.586,74.8574,0,0,1,1,0,0.0409,0.0209
VIR_00284,Virus,1,Infector,High,6.5495,1.0,9,5.8536,7.3415,2,4,27.711,4.5722,11.4316,0,1,0,0,33.8219,26.0888,6.8526,10.5052,25.3558,3.9771,1.4472,33.7561,111.2818,1,0,1,0,0,0.0594,0.0362
BEN_01741,Benign,0,Clean,None,4.0499,1.0,5,4.0587,6.5175,1,0,76.0907,9.0756,1.3222,1,0,1,0,0.0,0.0,0.0,4.0058,4.6552,2.5918,0.0,34.2413,81.032,0,0,0,0,0,0.2835,0.0
BEN_01376,Benign,0,Clean,None,5.4155,1.0,5,4.7838,6.278,1,0,51.2005,18.7828,2.1484,1,0,0,0,1.6436,1.8062,7.9039,0.0,0.0,0.2917,0.0885,40.9665,28.9988,0,0,0,0,0,0.1119,0.0231
BAC_00055,Backdoor,8,Remote Access,Critical,6.3051,10.64,8,7.1096,6.7834,3,2,22.8436,0.0,18.2466,1,0,0,1,43.8139,28.5333,42.4899,1.0,11.1153,8.8384,1.0611,36.885,13.9515,0,1,0,1,0,0.1574,0.0769
ROO_00054,Rootkit,5,Stealth,Critical,5.824,2.0,4,5.246,6.1217,1,1,26.0965,0.0,6.2401,1,1,0,0,54.1956,12.99,13.5172,21.9283,12.9139,2.24,2.1821,16.4679,106.0232,0,1,1,1,1,0.0304,0.0784
WOR_00051,Worm,3,Self-Replicating,Critical,4.3979,22.11,3,5.8875,7.99,4,1,53.9254,0.0,10.5586,1,0,0,0,34.3691,23.0783,41.245,7.1856,2.0,12.0413,4.2895,68.1009,173.8022,0,1,1,1,0,0.0598,0.0848
BOT_00253,Botnet,12,C&C Controlled,Critical,7.0918,10.0,4,5.8618,6.1442,4,2,67.8328,3.7835,12.2453,0,0,0,0,55.9469,10.2068,49.7749,28.4113,2.6955,4.9169,3.7926,84.9506,171.4868,0,1,1,0,0,0.0935,0.0636
